DEZE GEGEVENS MOGEN VRIJ WORDEN GEBRUIKT MITS DE VOLGENDE BRONVERMELDING WORDT GEGEVEN:
KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)

THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:
ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE

STN      = stationsnummer/stationnumber
YYYYMMDD = datum/date (YYYY=jaar/year MM=maand/month DD=dag/day)
RD       = 24-uur som van de neerslag in tiende millimeters van 08.00 voorafgaande dag- 08.00 UTC huidige dag/
           daily precipitation amount in 0.1 mm over the period 08.00 preceding day - 08.00 UTC present day
SX       = codecijfer sneeuwdek om 08.00 uur UTC/code for the snow cover at 08.00 UTC:

           codecijfer/code    sneeuwdikte/snow cover
           1                                    1 cm
           ...                                   ...
           996                                996 cm

           997 gebroken sneeuwdek/broken snow cover < 1 cm
           998 gebroken sneeuwdek/broken snow cover >=1 cm
           999 sneeuwhopen/snow dunes

5 spaties betekent een ontbrekende waarde/5 spaces represents a missing value

STN,YYYYMMDD,   RD,   SX,
438,19070418,    4,     ,
438,19070419,   19,     ,
438,19070420,   13,     ,
438,19070421,    0,     ,
438,19070422,  102,     ,
438,19070423,    0,     ,
438,19070424,    1,     ,
438,19070425,    3,     ,
438,19070426,    9,     ,
438,19070427,    1,     ,
438,19070428,   20,     ,
438,19070429,    4,     ,
438,19070430,   31,     ,
438,19070501,  157,     ,
438,19070502,   71,     ,
438,19070503,   74,     ,
438,19070504,   59,     ,
438,19070505,    0,     ,
438,19070506,   20,     ,
438,19070507,  185,     ,
438,19070508,    0,     ,
438,19070509,   31,     ,
438,19070510,    0,     ,
438,19070511,    0,     ,
438,19070512,    0,     ,
438,19070513,    0,     ,
438,19070514,    0,     ,
438,19070515,    0,     ,
438,19070516,    0,     ,
438,19070517,    6,     ,
438,19070518,   25,     ,
438,19070519,    0,     ,
438,19070520,   98,     ,
438,19070521,   20,     ,
438,19070522,    0,     ,
438,19070523,    3,     ,
438,19070524,    0,     ,
438,19070525,    1,     ,
438,19070526,    3,     ,
438,19070527,    0,     ,
438,19070528,    0,     ,
438,19070529,    0,     ,
438,19070530,    0,     ,
438,19070531,    0,     ,
438,19070601,   36,     ,
438,19070602,  108,     ,
438,19070603,   24,     ,
438,19070604,   19,     ,
438,19070605,    0,     ,
438,19070606,   55,     ,
438,19070607,   21,     ,
438,19070608,    0,     ,
438,19070609,    0,     ,
438,19070610,   39,     ,
438,19070611,    0,     ,
438,19070612,    0,     ,
438,19070613,   42,     ,
438,19070614,    0,     ,
438,19070615,   11,     ,
438,19070616,  109,     ,
438,19070617,    0,     ,
438,19070618,    0,     ,
438,19070619,   11,     ,
438,19070620,    0,     ,
438,19070621,   13,     ,
438,19070622,    3,     ,
438,19070623,    0,     ,
438,19070624,   17,     ,
438,19070625,   97,     ,
438,19070626,   75,     ,
438,19070627,   11,     ,
438,19070628,    1,     ,
438,19070629,    0,     ,
438,19070630,   51,     ,
438,19070701,    0,     ,
438,19070702,    0,     ,
438,19070703,    0,     ,
438,19070704,   35,     ,
438,19070705,   20,     ,
438,19070706,    0,     ,
438,19070707,    0,     ,
438,19070708,    4,     ,
438,19070709,   16,     ,
438,19070710,   41,     ,
438,19070711,    0,     ,
438,19070712,   16,     ,
438,19070713,    0,     ,
438,19070714,    0,     ,
438,19070715,    0,     ,
438,19070716,    0,     ,
438,19070717,    0,     ,
438,19070718,    0,     ,
438,19070719,    0,     ,
438,19070720,    0,     ,
438,19070721,    0,     ,
438,19070722,    0,     ,
438,19070723,    1,     ,
438,19070724,    1,     ,
438,19070725,    0,     ,
438,19070726,    0,     ,
438,19070727,    0,     ,
438,19070728,    0,     ,
438,19070729,    8,     ,
438,19070730,    3,     ,
438,19070731,   21,     ,
438,19070801,   83,     ,
438,19070802,    0,     ,
438,19070803,   19,     ,
438,19070804,   96,     ,
438,19070805,    0,     ,
438,19070806,   18,     ,
438,19070807,    0,     ,
438,19070808,    8,     ,
438,19070809,   29,     ,
438,19070810,    0,     ,
438,19070811,    8,     ,
438,19070812,    0,     ,
438,19070813,    5,     ,
438,19070814,    0,     ,
438,19070815,    0,     ,
438,19070816,   37,     ,
438,19070817,   23,     ,
438,19070818,   22,     ,
438,19070819,   47,     ,
438,19070820,   23,     ,
438,19070821,   35,     ,
438,19070822,    0,     ,
438,19070823,   28,     ,
438,19070824,    7,     ,
438,19070825,    0,     ,
438,19070826,   30,     ,
438,19070827,   32,     ,
438,19070828,    1,     ,
438,19070829,    0,     ,
438,19070830,    0,     ,
438,19070831,    0,     ,
438,19070901,   15,     ,
438,19070902,    0,     ,
438,19070903,   45,     ,
438,19070904,    8,     ,
438,19070905,    4,     ,
438,19070906,   16,     ,
438,19070907,   55,     ,
438,19070908,    0,     ,
438,19070909,    2,     ,
438,19070910,    0,     ,
438,19070911,    1,     ,
438,19070912,    1,     ,
438,19070913,    0,     ,
438,19070914,    0,     ,
438,19070915,    0,     ,
438,19070916,    0,     ,
438,19070917,    0,     ,
438,19070918,    0,     ,
438,19070919,    0,     ,
438,19070920,    0,     ,
438,19070921,    1,     ,
438,19070922,    2,     ,
438,19070923,    0,     ,
438,19070924,    0,     ,
438,19070925,    1,     ,
438,19070926,    0,     ,
438,19070927,    0,     ,
438,19070928,    0,     ,
438,19070929,    2,     ,
438,19070930,    0,     ,
438,19071001,    5,     ,
438,19071002,   71,     ,
438,19071003,  108,     ,
