DEZE GEGEVENS MOGEN VRIJ WORDEN GEBRUIKT MITS DE VOLGENDE BRONVERMELDING WORDT GEGEVEN:
KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)

THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:
ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE

STN      = stationsnummer/stationnumber
YYYYMMDD = datum/date (YYYY=jaar/year MM=maand/month DD=dag/day)
RD       = 24-uur som van de neerslag in tiende millimeters van 08.00 voorafgaande dag- 08.00 UTC huidige dag/
           daily precipitation amount in 0.1 mm over the period 08.00 preceding day - 08.00 UTC present day
SX       = codecijfer sneeuwdek om 08.00 uur UTC/code for the snow cover at 08.00 UTC:

           codecijfer/code    sneeuwdikte/snow cover
           1                                    1 cm
           ...                                   ...
           996                                996 cm

           997 gebroken sneeuwdek/broken snow cover < 1 cm
           998 gebroken sneeuwdek/broken snow cover >=1 cm
           999 sneeuwhopen/snow dunes

5 spaties betekent een ontbrekende waarde/5 spaces represents a missing value

STN,YYYYMMDD,   RD,   SX,
475,19720115,    0,    0,
475,19720116,    0,    0,
475,19720117,    0,    0,
475,19720118,    0,    0,
475,19720119,    0,    0,
475,19720120,   18,    0,
475,19720121,   48,    0,
475,19720122,    0,    0,
475,19720123,    0,    0,
475,19720124,    0,    0,
475,19720125,   38,    0,
475,19720126,    0,    0,
475,19720127,   63,    0,
475,19720128,    6,    0,
475,19720129,    0,    0,
475,19720130,    0,    0,
475,19720131,    0,  997,
475,19720201,   30,    2,
475,19720202,    3,    2,
475,19720203,    9,    0,
475,19720204,   39,    0,
475,19720205,    0,    0,
475,19720206,    0,    0,
475,19720207,    5,    0,
475,19720208,  116,    0,
475,19720209,    0,    0,
475,19720210,    0,    0,
475,19720211,   16,    0,
475,19720212,   62,    0,
475,19720213,   44,    0,
475,19720214,    0,    0,
475,19720215,    0,    0,
475,19720216,    0,    0,
475,19720217,    0,    0,
475,19720218,    0,    0,
475,19720219,    0,    0,
475,19720220,    0,    0,
475,19720221,    1,    0,
475,19720222,   74,    0,
475,19720223,    0,    0,
475,19720224,    0,    0,
475,19720225,    0,    0,
475,19720226,    8,    0,
475,19720227,    1,    0,
475,19720228,    0,    0,
475,19720229,    0,    0,
475,19720301,    0,    0,
475,19720302,    0,    0,
475,19720303,   33,    0,
475,19720304,   65,    0,
475,19720305,    0,    0,
475,19720306,    1,    0,
475,19720307,   60,    0,
475,19720308,    0,    0,
475,19720309,    5,    0,
475,19720310,    0,    0,
475,19720311,   23,    2,
475,19720312,    0,    0,
475,19720313,    0,    0,
475,19720314,    0,    0,
475,19720315,    0,    0,
475,19720316,    0,    0,
475,19720317,    0,    0,
475,19720318,    0,    0,
475,19720319,    0,    0,
475,19720320,    0,    0,
475,19720321,    0,    0,
475,19720322,    0,    0,
475,19720323,    0,    0,
475,19720324,    0,    0,
475,19720325,    0,    0,
475,19720326,    6,    0,
475,19720327,   15,    0,
475,19720328,   26,    0,
475,19720329,    7,    0,
475,19720330,    0,    0,
475,19720331,   37,    0,
475,19720401,   54,    0,
475,19720402,   56,    0,
475,19720403,   27,    0,
475,19720404,    0,    0,
475,19720405,   56,    0,
475,19720406,   16,    0,
475,19720407,   34,    0,
475,19720408,    2,    0,
475,19720409,   23,    0,
475,19720410,    7,    0,
475,19720411,   35,    0,
475,19720412,    7,    0,
475,19720413,    0,    0,
475,19720414,    1,    0,
475,19720415,   44,    0,
475,19720416,   36,    0,
475,19720417,   38,    0,
475,19720418,    0,    0,
475,19720419,   10,    0,
475,19720420,   22,    0,
475,19720421,    0,    0,
475,19720422,    0,    0,
475,19720423,    0,    0,
475,19720424,    0,    0,
475,19720425,    0,    0,
475,19720426,    1,    0,
475,19720427,    0,    0,
475,19720428,   17,    0,
475,19720429,    5,    0,
475,19720430,   66,    0,
475,19720501,    6,    0,
475,19720502,    0,    0,
475,19720503,    0,    0,
475,19720504,    0,    0,
475,19720505,    2,    0,
475,19720506,    0,    0,
475,19720507,    0,    0,
475,19720508,    0,    0,
475,19720509,   24,    0,
475,19720510,   35,    0,
475,19720511,   81,    0,
475,19720512,   20,    0,
475,19720513,   72,    0,
475,19720514,   16,    0,
475,19720515,    0,    0,
475,19720516,    0,    0,
475,19720517,   73,    0,
475,19720518,  104,    0,
475,19720519,   34,    0,
475,19720520,    0,    0,
475,19720521,    0,    0,
475,19720522,    0,    0,
475,19720523,    0,    0,
475,19720524,   53,    0,
475,19720525,   24,    0,
475,19720526,   11,    0,
475,19720527,   74,    0,
475,19720528,  100,    0,
475,19720529,   62,    0,
475,19720530,    6,    0,
475,19720531,    1,    0,
475,19720601,   52,    0,
475,19720602,    0,    0,
475,19720603,    0,    0,
475,19720604,    1,    0,
475,19720605,    9,    0,
475,19720606,   47,    0,
475,19720607,    4,    0,
475,19720608,   39,    0,
475,19720609,    0,    0,
475,19720610,   63,    0,
475,19720611,   53,    0,
475,19720612,    0,    0,
475,19720613,   19,    0,
475,19720614,    0,    0,
475,19720615,    0,    0,
475,19720616,    0,    0,
475,19720617,    0,    0,
475,19720618,    0,    0,
475,19720619,   58,    0,
475,19720620,   16,    0,
475,19720621,    0,    0,
475,19720622,   16,    0,
475,19720623,  153,    0,
475,19720624,   16,    0,
475,19720625,    0,    0,
475,19720626,    0,    0,
475,19720627,    0,    0,
475,19720628,   34,    0,
475,19720629,    0,    0,
475,19720630,    0,    0,
475,19720701,   33,    0,
475,19720702,   65,    0,
475,19720703,  115,    0,
475,19720704,    4,    0,
475,19720705,    0,    0,
475,19720706,   90,    0,
475,19720707,    0,    0,
475,19720708,   41,    0,
475,19720709,  104,    0,
475,19720710,   62,    0,
475,19720711,    0,    0,
475,19720712,    0,    0,
475,19720713,    0,    0,
475,19720714,    0,    0,
475,19720715,    0,    0,
475,19720716,    0,    0,
475,19720717,    0,    0,
475,19720718,    0,    0,
475,19720719,    0,    0,
475,19720720,    0,    0,
475,19720721,   16,    0,
475,19720722,   51,    0,
475,19720723,    2,    0,
475,19720724,   54,    0,
475,19720725,    0,    0,
475,19720726,    1,    0,
475,19720727,   23,    0,
475,19720728,   69,    0,
475,19720729,   71,    0,
475,19720730,    0,    0,
475,19720731,    0,    0,
475,19720801,   19,    0,
475,19720802,    0,    0,
475,19720803,  329,    0,
475,19720804,    1,    0,
475,19720805,    6,    0,
475,19720806,    0,    0,
475,19720807,    0,    0,
475,19720808,   16,    0,
475,19720809,  129,    0,
475,19720810,    0,    0,
475,19720811,    0,    0,
475,19720812,    0,    0,
475,19720813,   74,    0,
475,19720814,    0,    0,
475,19720815,    3,    0,
475,19720816,    0,    0,
475,19720817,    0,    0,
475,19720818,   85,    0,
475,19720819,   53,    0,
475,19720820,    0,    0,
475,19720821,    5,    0,
475,19720822,    0,    0,
475,19720823,    1,    0,
475,19720824,    0,    0,
475,19720825,    0,    0,
475,19720826,    0,    0,
475,19720827,    0,    0,
475,19720828,    0,    0,
475,19720829,    0,    0,
475,19720830,    0,    0,
475,19720831,    0,    0,
475,19720901,    0,    0,
475,19720902,    0,    0,
475,19720903,    0,    0,
475,19720904,    0,    0,
475,19720905,    2,    0,
475,19720906,    0,    0,
475,19720907,    0,    0,
475,19720908,    0,    0,
475,19720909,    0,    0,
475,19720910,  291,    0,
475,19720911,   39,    0,
475,19720912,    9,    0,
475,19720913,   13,    0,
475,19720914,    8,    0,
475,19720915,    0,    0,
475,19720916,   22,    0,
475,19720917,   61,    0,
475,19720918,   27,    0,
475,19720919,   13,    0,
475,19720920,    0,    0,
475,19720921,    0,    0,
475,19720922,    0,    0,
475,19720923,    0,    0,
475,19720924,    0,    0,
475,19720925,    0,    0,
475,19720926,    0,    0,
475,19720927,    7,    0,
475,19720928,    0,    0,
475,19720929,    0,    0,
475,19720930,    0,    0,
475,19721001,    0,    0,
475,19721002,    0,    0,
475,19721003,    0,    0,
475,19721004,    0,    0,
475,19721005,    0,    0,
475,19721006,    0,    0,
475,19721007,    0,    0,
475,19721008,    0,    0,
475,19721009,    5,    0,
475,19721010,    0,    0,
475,19721011,    0,    0,
475,19721012,    0,    0,
475,19721013,    0,    0,
475,19721014,    0,    0,
475,19721015,    0,    0,
475,19721016,    0,    0,
475,19721017,    0,    0,
475,19721018,    1,    0,
475,19721019,    0,    0,
475,19721020,   54,    0,
475,19721021,  115,    0,
475,19721022,   35,    0,
475,19721023,   28,    0,
475,19721024,    0,    0,
475,19721025,    0,    0,
475,19721026,    0,    0,
475,19721027,    7,    0,
475,19721028,  168,    0,
475,19721029,    0,    0,
475,19721030,    0,    0,
475,19721031,    0,    0,
475,19721101,    2,    0,
